Year,College,N,%,GPA Mean,% GPA > 3.0,% GPA > 3.5,Units Mean,Freshman Mean,Transfer Mean,Disciplinary Area
2000-2001,Revelle,11.0,5.1%,3.23,82%,9%,220.0,12.699999999999999,,Arts
2000-2001,Muir,61.0,28.5%,3.3500000000000001,88%,33%,202.0,12.699999999999999,8.5999999999999996,Arts
2000-2001,Marshall,54.0,25.2%,3.3700000000000001,83%,44%,212.0,13.9,7.4000000000000004,Arts
2000-2001,Warren,52.0,24.3%,3.23,75%,19%,201.0,13.300000000000001,8.1999999999999993,Arts
2000-2001,Roosevelt,36.0,16.8%,3.27,75%,31%,210.0,14.4,9.0,Arts
2000-2001,Revelle,28.0,10.3%,3.1000000000000001,61%,14%,213.0,14.0,8.5,Humanities
2000-2001,Muir,82.0,30.0%,3.1600000000000001,72%,20%,198.0,13.300000000000001,7.2999999999999998,Humanities
2000-2001,Marshall,55.0,20.1%,3.0099999999999998,56%,9%,201.0,13.9,6.9000000000000004,Humanities
2000-2001,Warren,38.0,13.9%,3.1400000000000001,66%,26%,198.0,14.4,8.3000000000000007,Humanities
2000-2001,Roosevelt,70.0,25.6%,3.23,74%,26%,205.0,13.300000000000001,7.5,Humanities
2000-2001,Revelle,89.0,16.5%,3.1200000000000001,63%,26%,237.0,14.0,10.199999999999999,Engineering
2000-2001,Muir,84.0,15.6%,3.0899999999999999,58%,17%,223.0,13.9,9.6999999999999993,Engineering
2000-2001,Marshall,58.0,10.7%,3.0600000000000001,53%,12%,221.0,13.9,9.0999999999999996,Engineering
2000-2001,Warren,282.0,52.2%,3.1099999999999999,62%,18%,219.0,13.6,9.5999999999999996,Engineering
2000-2001,Roosevelt,27.0,5.0%,3.1200000000000001,75%,19%,238.0,14.6,10.5,Engineering
2000-2001,Revelle,313.0,30.4%,3.1299999999999999,64%,27%,216.0,13.1,10.0,Science/Math
2000-2001,Muir,222.0,21.6%,3.1600000000000001,57%,23%,210.0,13.1,8.8000000000000007,Science/Math
2000-2001,Marshall,195.0,19.0%,3.0099999999999998,61%,20%,206.0,13.300000000000001,8.8000000000000007,Science/Math
2000-2001,Warren,243.0,23.6%,3.0600000000000001,55%,22%,209.0,13.0,8.9000000000000004,Science/Math
2000-2001,Roosevelt,56.0,5.4%,3.0499999999999998,56%,11%,215.0,13.6,9.9000000000000004,Science/Math
2000-2001,Revelle,206.0,12.5%,3.02,52%,13%,205.0,12.800000000000001,12.199999999999999,Social Science
2000-2001,Muir,397.0,24.1%,3.1499999999999999,66%,18%,196.0,12.6,7.5999999999999996,Social Science
2000-2001,Marshall,439.0,26.6%,3.1200000000000001,63%,19%,194.0,12.9,7.9000000000000004,Social Science
2000-2001,Warren,353.0,21.4%,3.0699999999999998,56%,19%,194.0,13.0,7.5999999999999996,Social Science
2000-2001,Roosevelt,254.0,15.4%,3.1699999999999999,69%,21%,199.0,12.9,7.7000000000000002,Social Science
2001-2002,Revelle,23.0,9.7%,3.02,48%,13%,208,14.5,14.3,Arts
2001-2002,Muir,89.0,37.7%,3.32,52%,30%,204,13.2,9.0,Arts
2001-2002,Marshall,60.0,25.4%,3.22,55%,22%,198,13.5,7.6,Arts
2001-2002,Warren,37.0,15.7%,3.23,43%,30%,197,14.5,7.8,Arts
2001-2002,Roosevelt,27.0,11.4%,3.31,63%,22%,208,13.2,9.3,Arts
2001-2002,Revelle,25.0,10.2%,3.05,52%,4%,220,14.3,14.5,Humanities
2001-2002,Muir,78.0,32.0%,3.21,47%,26%,200,13.3,7.5,Humanities
2001-2002,Marshall,41.0,16.8%,3.25,46%,29%,202,13.8,8.3,Humanities
2001-2002,Warren,39.0,16.0%,3.02,44%,10%,198,13.8,7.6,Humanities
2001-2002,Roosevelt,61.0,25.0%,3.18,31%,26%,204,13.7,11.4,Humanities
2001-2002,Revelle,121.0,21.5%,3.18,41%,23%,241,14.0,10.1,Engineering
2001-2002,Muir,85.0,15.1%,3.13,46%,20%,223,14.1,10.5,Engineering
2001-2002,Marshall,68.0,12.1%,2.93,44%,3%,220,14.2,8.8,Engineering
2001-2002,Warren,262.0,46.5%,3.06,41%,15%,218,13.5,9.8,Engineering
2001-2002,Roosevelt,27.0,4.8%,2.96,48%,4%,235,14.8,8.8,Engineering
2001-2002,Revelle,315.0,32.9%,3.14,39%,25%,216,13.4,9.7,Science/Math
2001-2002,Muir,204.0,21.3%,3.15,45%,23%,211,12.9,9.3,Science/Math
2001-2002,Marshall,155.0,16.2%,3.01,39%,16%,203,13.3,8.9,Science/Math
2001-2002,Warren,220.0,23.0%,3.12,36%,26%,211,13.0,8.5,Science/Math
2001-2002,Roosevelt,63.0,6.6%,2.96,40%,10%,217,14.3,10.2,Science/Math
2001-2002,Revelle,240.0,12.5%,2.90,32%,8%,204,13.4,8.4,Social Science
2001-2002,Muir,469.0,24.5%,3.13,44%,20%,196,12.9,7.3,Social Science
2001-2002,Marshall,464.0,24.2%,3.09,48%,14%,195,13.0,7.9,Social Science
2001-2002,Warren,420.0,21.9%,3.12,44%,19%,195,12.7,7.6,Social Science
2001-2002,Roosevelt,323.0,16.9%,3.15,51%,18%,200,13.0,8.6,Social Science
2002-2003,Revelle,16,5.3%,3.02,50.0%,0.0%,213,13.9,0.0,Arts
2002-2003,Muir,96,32.0%,3.36,54.2%,32.3%,209,13.4,8.5,Arts
2002-2003,Marshall,64,21.3%,3.18,50.0%,21.9%,204,14.0,7.7,Arts
2002-2003,Warren,72,24.0%,3.31,51.4%,30.6%,202,14.1,7.1,Arts
2002-2003,Roosevelt,52,17.3%,3.23,51.9%,21.2%,211,14.2,9.8,Arts
2002-2003,Revelle,27,11.9%,3.04,44.4%,14.8%,216,14.6,10.0,Humanities
2002-2003,Muir,69,30.5%,3.21,54.2%,32.3%,205,12.8,8.5,Humanities
2002-2003,Marshall,58,25.7%,3.13,50.0%,21.9%,201,13.7,7.5,Humanities
2002-2003,Warren,31,13.7%,3.11,51.4%,30.6%,209,13.6,7.4,Humanities
2002-2003,Roosevelt,41,18.1%,3.26,51.9%,21.2%,203,13.1,8.8,Humanities
2002-2003,Revelle,121,18.0%,3.13,34.7%,23.1%,235,13.9,9.3,Engineering
2002-2003,Muir,105,15.6%,3.18,44.8%,21.9%,234,14.4,10.0,Engineering
2002-2003,Marshall,100,14.8%,3.04,41.0%,13.0%,227,13.5,10.1,Engineering
2002-2003,Warren,324,48.1%,3.13,38.0%,22.8%,221,13.7,9.9,Engineering
2002-2003,Roosevelt,24,3.6%,2.85,20.8%,12.5%,240,15.9,9.8,Engineering
2002-2003,Revelle,348,35.0%,3.15,34.8%,27.6%,214,13.1,9.0,Science/Math
2002-2003,Muir,201,20.2%,3.19,44.3%,24.4%,213,13.1,8.8,Science/Math
2002-2003,Marshall,160,16.1%,3.06,38.1%,16.9%,207,13.4,8.2,Science/Math
2002-2003,Warren,216,21.7%,3.08,35.6%,22.7%,211,13.4,8.2,Science/Math
2002-2003,Roosevelt,69,6.9%,3.02,36.2%,17.4%,214,13.5,8.8,Science/Math
2002-2003,Revelle,281,13.7%,3.00,40.2%,15.7%,208,13.5,9.3,Social Science
2002-2003,Muir,466,22.7%,3.15,40.8%,22.3%,196,12.9,7.3,Social Science
2002-2003,Marshall,557,27.2%,3.09,46.3%,15.1%,195,12.8,7.6,Social Science
2002-2003,Warren,423,20.6%,3.08,37.6%,20.3%,196,13.2,7.2,Social Science
2002-2003,Roosevelt,324,15.8%,3.15,44.4%,22.5%,201,12.9,7.7,Social Science
2003-2004,Revelle,27.0,9.6%,3.18,37.0%,25.9%,234,14.3,10.5,Arts
2003-2004,Muir,91.0,32.4%,3.37,42.9%,44.0%,208,13.7,7.9,Arts
2003-2004,Marshall,51.0,18.1%,3.34,54.9%,29.4%,209,15.0,7.7,Arts
2003-2004,Warren,62.0,22.1%,3.40,41.9%,46.8%,206,13.8,7.7,Arts
2003-2004,Roosevelt,50.0,17.8%,3.32,40.0%,34.0%,211,13.2,9.4,Arts
2003-2004,Revelle,21.0,8.3%,3.04,47.6%,19.0%,227,13.6,--,Humanities
2003-2004,Muir,74.0,29.2%,3.24,47.3%,25.7%,201,12.7,7.8,Humanities
2003-2004,Marshall,69.0,27.3%,3.25,47.8%,31.9%,201,12.7,8.0,Humanities
2003-2004,Warren,41.0,16.2%,3.17,46.3%,24.4%,203,13.4,6.8,Humanities
2003-2004,Roosevelt,48.0,19.0%,3.28,43.8%,31.3%,207,13.4,8.1,Humanities
2003-2004,Revelle,123.0,18.8%,3.06,40.7%,16.3%,238,14.1,10.1,Engineering
2003-2004,Muir,99.0,15.1%,3.15,47.5%,23.2%,228,14.0,9.6,Engineering
2003-2004,Marshall,110.0,16.8%,3.04,38.2%,13.6%,227,13.8,9.6,Engineering
2003-2004,Warren,291.0,44.5%,3.13,39.2%,21.3%,223,13.5,10.3,Engineering
2003-2004,Roosevelt,31.0,4.7%,3.01,35.5%,12.9%,238,15.5,10.3,Engineering
2003-2004,Revelle,311.0,33.8%,3.13,36.3%,24.4%,216,13.0,8.3,Science/Math
2003-2004,Muir,185.0,20.1%,3.16,36.8%,26.5%,216,13.2,8.8,Science/Math
2003-2004,Marshall,164.0,17.8%,3.04,32.9%,18.9%,206,13.3,8.7,Science/Math
2003-2004,Warren,194.0,21.1%,3.06,32.0%,23.7%,214,13.8,8.4,Science/Math
2003-2004,Roosevelt,66.0,7.2%,3.20,42.4%,25.8%,219,13.7,8.6,Science/Math
2003-2004,Revelle,229.0,11.3%,3.01,40.2%,9.6%,208,13.2,7.6,Social Science
2003-2004,Muir,466.0,23.0%,3.20,42.3%,26.4%,198,12.8,7.3,Social Science
2003-2004,Marshall,538.0,26.6%,3.13,42.2%,20.1%,196,12.9,7.3,Social Science
2003-2004,Warren,420.0,20.8%,3.15,41.0%,25.2%,198,13.1,7.0,Social Science
2003-2004,Roosevelt,369.0,18.2%,3.16,43.6%,23.0%,202,13.1,8.4,Social Science
2004-2005,Revelle,20.0,6.8%,3.16,35.0%,20.0%,227,14.3,--,Arts
2004-2005,Muir,74.0,25.0%,3.38,45.9%,39.2%,210,13.1,8.1,Arts
2004-2005,Marshall,68.0,23.0%,3.21,58.8%,20.6%,205,13.2,7.7,Arts
2004-2005,Warren,86.0,29.1%,3.33,54.7%,33.7%,204,13.4,7.7,Arts
2004-2005,Roosevelt,48.0,16.2%,3.25,52.1%,25.0%,209,13.3,11.4,Arts
2004-2005,Revelle,21.0,8.1%,3.20,42.9%,23.8%,216,13.8,10.0,Humanities
2004-2005,Muir,76.0,29.3%,3.37,39.5%,42.1%,202,12.0,7.8,Humanities
2004-2005,Marshall,59.0,22.8%,3.26,52.5%,25.4%,201,12.6,8.3,Humanities
2004-2005,Warren,55.0,21.2%,3.07,50.9%,10.9%,199,13.0,9.1,Humanities
2004-2005,Roosevelt,47.0,18.1%,3.21,38.3%,31.9%,204,13.2,9.6,Humanities
2004-2005,Revelle,219.0,21.9%,3.18,44.7%,22.8%,238,13.4,9.2,Engineering
2004-2005,Muir,119.0,11.9%,3.12,42.0%,21.8%,229,13.5,10.3,Engineering
2004-2005,Marshall,146.0,14.6%,3.02,39.7%,11.6%,226,13.8,9.2,Engineering
2004-2005,Warren,452.0,45.3%,3.19,40.5%,26.3%,226,13.1,9.3,Engineering
2004-2005,Roosevelt,62.0,6.2%,3.03,35.5%,19.4%,241,14.5,9.2,Engineering
2004-2005,Revelle,321.0,29.7%,3.13,34.9%,26.2%,219,13.3,8.5,Science/Math
2004-2005,Muir,222.0,20.6%,3.20,41.4%,28.8%,212,12.6,8.7,Science/Math
2004-2005,Marshall,187.0,17.3%,3.08,41.7%,17.1%,209,12.9,8.2,Science/Math
2004-2005,Warren,256.0,23.7%,3.11,35.9%,25.8%,216,13.3,8.8,Science/Math
2004-2005,Roosevelt,91.0,8.4%,3.03,39.6%,18.7%,217,13.4,8.7,Science/Math
2004-2005,Revelle,297.0,12.3%,3.03,35.4%,19.5%,208,13.1,9.9,Social Science
2004-2005,Muir,517.0,21.5%,3.15,43.9%,22.1%,197,12.8,7.3,Social Science
2004-2005,Marshall,643.0,26.7%,3.13,43.9%,19.4%,194,12.8,6.9,Social Science
2004-2005,Warren,513.0,21.3%,3.09,44.4%,17.2%,197,12.9,6.9,Social Science
2004-2005,Roosevelt,432.0,18.0%,3.16,41.4%,23.8%,203,12.6,7.3,Social Science
2005-2006,Revelle,21.0,7.5%,3.20,71.4%,14.3%,219,13.3,12.0,Arts
2005-2006,Muir,84.0,30.0%,3.37,44.0%,40.5%,206,13.5,9.2,Arts
2005-2006,Marshall,40.0,14.3%,3.28,70.0%,20.0%,201,12.9,7.1,Arts
2005-2006,Warren,66.0,23.6%,3.37,39.4%,45.5%,210,14.4,7.9,Arts
2005-2006,Roosevelt,46.0,16.4%,3.37,43.5%,41.3%,213,13.8,8.9,Arts
2005-2006,Sixth,23.0,8.2%,3.52,47.8%,52.2%,204,11.9,5.6,Arts
2005-2006,Revelle,33.0,11.8%,3.03,42.4%,12.1%,224,13.4,8.2,Humanities
2005-2006,Muir,89.0,31.8%,3.36,39.3%,43.8%,203,12.8,8.5,Humanities
2005-2006,Marshall,50.0,17.9%,3.18,44.0%,24.0%,197,12.3,8.2,Humanities
2005-2006,Warren,44.0,15.7%,3.27,59.1%,20.5%,199,12.9,7.3,Humanities
2005-2006,Roosevelt,59.0,21.1%,3.27,49.2%,27.1%,204,12.8,9.9,Humanities
2005-2006,Sixth,5.0,1.8%,3.39,80.0%,20.0%,218,11.5,6.0,Humanities
2005-2006,Revelle,159.0,17.0%,3.09,39.0%,18.9%,238,14.0,9.1,Engineering
2005-2006,Muir,148.0,15.9%,3.12,37.8%,20.3%,230,13.5,9.4,Engineering
2005-2006,Marshall,123.0,13.2%,3.03,40.7%,9.8%,232,14.2,10.2,Engineering
2005-2006,Warren,408.0,43.7%,3.15,37.7%,23.3%,227,13.5,9.7,Engineering
2005-2006,Roosevelt,73.0,7.8%,2.95,31.5%,12.3%,245,14.7,9.8,Engineering
2005-2006,Sixth,22.0,2.4%,3.26,36.4%,36.4%,232,12.3,--,Engineering
2005-2006,Revelle,351.0,28.9%,3.15,37.6%,25.4%,219,13.0,8.9,Science/Math
2005-2006,Muir,223.0,18.3%,3.24,31.8%,36.3%,214,12.7,7.5,Science/Math
2005-2006,Marshall,195.0,16.0%,3.10,40.0%,17.9%,209,13.1,8.4,Science/Math
2005-2006,Warren,325.0,26.7%,3.17,37.5%,26.5%,216,13.0,7.9,Science/Math
2005-2006,Roosevelt,93.0,7.6%,3.12,49.5%,18.3%,218,13.1,8.4,Science/Math
2005-2006,Sixth,29.0,2.4%,3.33,62.1%,24.1%,210,11.8,5.7,Science/Math
2005-2006,Revelle,275.0,11.1%,3.03,36.0%,16.0%,209,13.1,8.6,Social Science
2005-2006,Muir,522.0,21.0%,3.21,44.1%,28.0%,197,12.4,7.3,Social Science
2005-2006,Marshall,593.0,23.9%,3.11,42.0%,18.7%,197,12.8,7.2,Social Science
2005-2006,Warren,522.0,21.0%,3.12,41.2%,20.9%,198,12.6,7.1,Social Science
2005-2006,Roosevelt,502.0,20.2%,3.19,46.4%,23.3%,204,12.5,8.2,Social Science
2005-2006,Sixth,72.0,2.9%,3.28,36.1%,36.1%,196,11.6,6.0,Social Science
2006-2007,Revelle,19.0,7.4%,3.2599999999999998,57.9%,21.1%,220.0,13.7,--,Arts
2006-2007,Muir,67.0,26.1%,3.3999999999999999,46.3%,40.3%,212.0,13.5,8.0,Arts
2006-2007,Marshall,54.0,21.0%,3.27,50.0%,31.5%,209.0,14.7,9.1,Arts
2006-2007,Warren,47.0,18.3%,3.4100000000000001,55.3%,38.3%,209.0,15.3,9.0,Arts
2006-2007,Roosevelt,32.0,12.5%,3.21,62.5%,9.4%,212.0,13.6,8.3,Arts
2006-2007,Sixth,38.0,14.8%,3.4700000000000002,44.7%,50.0%,209.0,12.8,6.6,Arts
2006-2007,Revelle,23.0,8.8%,3.02,39.1%,13.0%,211.0,13.9,13.5,Humanities
2006-2007,Muir,78.0,29.8%,3.2400000000000002,44.9%,28.2%,208.0,12.9,8.2,Humanities
2006-2007,Marshall,45.0,17.2%,3.1800000000000002,42.2%,22.2%,198.0,13.0,7.5,Humanities
2006-2007,Warren,48.0,18.3%,3.1600000000000001,45.8%,27.1%,202.0,13.2,7.5,Humanities
2006-2007,Roosevelt,53.0,20.2%,3.2200000000000002,49.1%,24.5%,203.0,12.4,6.7,Humanities
2006-2007,Sixth,15.0,5.7%,3.2000000000000002,46.7%,20.0%,214.0,13.1,5.7,Humanities
2006-2007,Revelle,140.0,17.2%,3.1099999999999999,30.7%,24.3%,241.0,14.4,9.8,Engineering
2006-2007,Muir,102.0,12.5%,3.0899999999999999,35.3%,18.6%,238.0,14.4,10.9,Engineering
2006-2007,Marshall,117.0,14.4%,3.1499999999999999,48.7%,17.9%,232.0,13.9,9.1,Engineering
2006-2007,Warren,326.0,40.0%,3.1200000000000001,38.7%,22.1%,229.0,13.7,9.9,Engineering
2006-2007,Roosevelt,74.0,9.1%,3.02,43.2%,12.2%,237.0,14.2,9.5,Engineering
2006-2007,Sixth,55.0,6.8%,3.1600000000000001,29.1%,27.3%,241.0,13.0,7.8,Engineering
2006-2007,Revelle,343.0,26.8%,3.1699999999999999,38.8%,28.0%,222.0,12.9,8.6,Science/Math
2006-2007,Muir,216.0,16.9%,3.2000000000000002,37.0%,31.5%,211.0,12.7,7.8,Science/Math
2006-2007,Marshall,206.0,16.1%,3.0800000000000001,32.5%,22.8%,210.0,13.1,8.8,Science/Math
2006-2007,Warren,323.0,25.3%,3.1200000000000001,39.9%,22.6%,212.0,12.9,8.1,Science/Math
2006-2007,Roosevelt,129.0,10.1%,3.1000000000000001,39.5%,18.6%,218.0,13.0,8.6,Science/Math
2006-2007,Sixth,61.0,4.8%,3.2000000000000002,50.8%,24.6%,223.0,12.5,6.6,Science/Math
2006-2007,Revelle,271.0,11.1%,3.0099999999999998,42.1%,12.5%,211.0,13.2,7.9,Social Science
2006-2007,Muir,509.0,20.8%,3.1299999999999999,40.9%,22.6%,199.0,12.7,7.0,Social Science
2006-2007,Marshall,566.0,23.1%,3.1299999999999999,42.9%,21.4%,198.0,12.8,7.0,Social Science
2006-2007,Warren,510.0,20.9%,3.0899999999999999,40.0%,19.0%,197.0,12.8,7.0,Social Science
2006-2007,Roosevelt,445.0,18.2%,3.1400000000000001,43.4%,23.1%,205.0,12.7,7.5,Social Science
2006-2007,Sixth,145.0,5.9%,3.2000000000000002,35.9%,29.0%,200.0,12.0,6.0,Social Science
2007-2008,Revelle,21,9.1%,3.15,71.4%,4.8%,223,15.4,10.0,Arts
2007-2008,Muir,62,26.7%,3.44,35.5%,53.2%,213,13.7,8.4,Arts
2007-2008,Marshall,25,10.8%,3.26,44.0%,32.0%,209,15.4,8.6,Arts
2007-2008,Warren,38,16.4%,3.28,63.2%,21.1%,213,13.6,9.3,Arts
2007-2008,Roosevelt,30,12.9%,3.21,33.3%,30.0%,222,14.0,11.8,Arts
2007-2008,Sixth,56,24.1%,3.46,46.4%,48.2%,206,12.5,7.2,Arts
2007-2008,Revelle,28,9.6%,3.24,53.6%,25.0%,216,12.5,19.0,Humanities
2007-2008,Muir,72,24.7%,3.28,48.6%,34.7%,211,12.7,8.2,Humanities
2007-2008,Marshall,53,18.2%,3.19,52.8%,20.8%,205,12.6,7.4,Humanities
2007-2008,Warren,49,16.8%,3.19,28.6%,34.7%,206,12.9,8.0,Humanities
2007-2008,Roosevelt,68,23.4%,3.31,44.1%,35.3%,216,12.9,9.3,Humanities
2007-2008,Sixth,21,7.2%,3.30,47.6%,28.6%,211,12.6,7.3,Humanities
2007-2008,Revelle,125,16.4%,3.09,45.6%,12.8%,244,14.0,10.9,Engineering
2007-2008,Muir,106,13.9%,3.20,37.7%,29.2%,236,13.6,10.2,Engineering
2007-2008,Marshall,113,14.8%,3.12,41.6%,20.4%,232,13.8,10.8,Engineering
2007-2008,Warren,254,33.3%,3.10,35.8%,21.3%,228,13.2,10.1,Engineering
2007-2008,Roosevelt,69,9.0%,3.06,43.5%,15.9%,242,14.8,9.2,Engineering
2007-2008,Sixth,96,12.6%,3.13,38.5%,19.8%,236,13.7,8.1,Engineering
2007-2008,Revelle,125,16.4%,3.09,45.6%,12.8%,244,14.0,10.9,Science/Math
2007-2008,Muir,106,13.9%,3.20,37.7%,29.2%,236,13.6,10.2,Science/Math
2007-2008,Marshall,113,14.8%,3.12,41.6%,20.4%,232,13.8,10.8,Science/Math
2007-2008,Warren,254,33.3%,3.10,35.8%,21.3%,228,13.2,10.1,Science/Math
2007-2008,Roosevelt,69,9.0%,3.06,43.5%,15.9%,242,14.8,9.2,Science/Math
2007-2008,Sixth,96,12.6%,3.13,38.5%,19.8%,236,13.7,8.1,Science/Math
2007-2008,Revelle,303,27.2%,3.13,37.6%,21.8%,219,12.8,8.1,Biology
2007-2008,Muir,172,15.5%,3.23,38.4%,30.8%,215,12.3,7.6,Biology
